web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,fun-factor-0,fun-factor-1,fun-factor-2,fun-factor-3,fun-factor-4
"1610738732-8011","https://www.wblivesurf.com/reports/page/164/","02.21.2019","Swell Size: Thigh/Waist/Occ Stomach","3:37 PM / BY: surfreports","Water Surface: Light Bump","ratingCell","ratingCell","null","null","null"
"1610738147-5861","https://www.wblivesurf.com/reports/page/298/","12.24.2016","Swell Size: Thigh/Waist/Occ. Bigger","3:28 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610738188-6107","https://www.wblivesurf.com/reports/page/283/","10.12.2017","Swell Size: Thigh/Waist/Occ. Stomach","7:11 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610739065-9238","https://www.wblivesurf.com/reports/page/87/","01.01.2020","Swell Size: Knee High Shorebreak","1:05 PM / BY: surfreports","Water Surface: Glassy","null","null","null","null","null"
"1610738511-7291","https://www.wblivesurf.com/reports/page/209/","08.14.2018","Swell Size: Knee High","3:45 PM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737405-1833","https://www.wblivesurf.com/reports/page/550/","09.17.2008","Swell Size: Shin/Knee/Occ. Thigh","4:05 PM / BY: sageisland","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737367-1627","https://www.wblivesurf.com/reports/page/563/","07.27.2008","Swell Size: Knee - Thigh","4:17 PM / BY: sageisland","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737469-2138","https://www.wblivesurf.com/reports/page/531/","02.16.2009","Swell Size: Thigh/Waist High","10:10 AM / BY: sageisland","Water Surface: Choppy/ Clean Faces","ratingCell","null","null","null","null"
"1610738306-6555","https://www.wblivesurf.com/reports/page/255/","02.11.2018","Swell Size: Waist/Stomach Maybe","1:18 PM / BY: surfreports","Water Surface: Semi-Clean / Slight Drift","ratingCell","ratingCell","null","null","null"
"1610737122-505","https://www.wblivesurf.com/reports/page/633/","10.29.2007","Swell Size: Stomach/Chest/Head High Sets","7:21 AM / BY: sageisland","Water Surface: Semi-Chop","ratingCell","ratingCell half","null","null","null"
"1610737408-1848","https://www.wblivesurf.com/reports/page/549/","09.21.2008","Swell Size: Thigh/Waist High Shorebreak","10:30 AM / BY: sageisland","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737736-3701","https://www.wblivesurf.com/reports/page/433/","04.17.2013","Swell Size: Waist/Stomach/Occ. Chest","12:49 PM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell","ratingCell half","null","null"
"1610739297-10199","https://www.wblivesurf.com/reports/page/27/","09.28.2020","Swell Size: Knee/Thigh","7:02 AM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610739262-10033","https://www.wblivesurf.com/reports/page/37/","08.20.2020","Swell Size: Knee-Thigh High","1:01 PM / BY: surfreports","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610738780-8204","https://www.wblivesurf.com/reports/page/152/","04.10.2019","Swell Size: Knee-Thigh High","10:09 AM / BY: surfreports","Water Surface: Bumpy","ratingCell half","null","null","null","null"
"1610737105-410","https://www.wblivesurf.com/reports/page/639/","10.09.2007","Swell Size: Knee/Thigh/Bigger Sets?","7:02 AM / BY: sageisland","Water Surface: Glassy","ratingCell","null","null","null","null"
"1610738002-5104","https://www.wblivesurf.com/reports/page/345/","12.29.2015","Swell Size: Waist/Occ Stomach","9:58 AM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610738467-7118","https://www.wblivesurf.com/reports/page/219/","07.09.2018","Swell Size: Waist/Stomach/Occ. Bigger","6:21 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610737567-2703","https://www.wblivesurf.com/reports/page/495/","02.02.2010","Swell Size: Thigh/Waist/Occ. Bigger","1:23 PM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737725-3634","https://www.wblivesurf.com/reports/page/437/","03.19.2013","Swell Size: Knee/Occ. Thigh","3:39 PM / BY: sageisland","Water Surface: Glassy","ratingCell","ratingCell half","null","null","null"
"1610738191-6121","https://www.wblivesurf.com/reports/page/282/","10.25.2017","Swell Size: Thigh-Waist High/Occ. Bigger","12:42 PM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","ratingCell","null","null"
"1610737408-1840","https://www.wblivesurf.com/reports/page/549/","09.24.2008","Swell Size: Chest-Shoulder","4:37 PM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610739343-10409","https://www.wblivesurf.com/reports/page/14/","11.20.2020","Swell Size: Knee High","10:03 AM / BY: surfreports","Water Surface: Fairly Clean","ratingCell half","null","null","null","null"
"1610739116-9466","https://www.wblivesurf.com/reports/page/73/","02.25.2020","Swell Size: Waist-Hip High","12:25 PM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610738722-7975","https://www.wblivesurf.com/reports/page/166/","02.14.2019","Swell Size: Flat","3:36 PM / BY: surfreports","Water Surface: Clean","null","null","null","null","null"
"1610737762-3845","https://www.wblivesurf.com/reports/page/424/","06.30.2013","Swell Size: Waist/Stomach/Bigger","1:25 PM / BY: sageisland","Water Surface: Light Chop","ratingCell","ratingCell","null","null","null"
"1610737353-1548","https://www.wblivesurf.com/reports/page/568/","06.30.2008","Swell Size: Thigh/Waist/Occ. Bigger","9:06 AM / BY: sageisland","Water Surface: Semi-Clean","ratingCell","ratingCell half","null","null","null"
"1610738856-8479","https://www.wblivesurf.com/reports/page/134/","06.24.2019","Swell Size: Ankle/Shin/Maybe Knee High","12:55 PM / BY: surfreports","Water Surface: Light Bump","null","null","null","null","null"
"1610737152-679","https://www.wblivesurf.com/reports/page/622/","12.10.2007","Swell Size: Maybe Knee High Sets?","7:00 AM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737800-4065","https://www.wblivesurf.com/reports/page/410/","11.01.2013","Swell Size: Waist/Occ. Chest","10:06 AM / BY: sageisland","Water Surface: Choppy/Drifty","ratingCell","ratingCell","null","null","null"
"1610738180-6058","https://www.wblivesurf.com/reports/page/286/","04.28.2017","Swell Size: Thigh/Waist/Occ. Stomach?","9:54 AM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell half","null","null","null"
"1610739173-9711","https://www.wblivesurf.com/reports/page/57/","06.02.2020","Swell Size: Knee-Thigh High","10:14 AM / BY: surfreports","Water Surface: Light Bump","ratingCell","ratingCell","null","null","null"
"1610737310-1291","https://www.wblivesurf.com/reports/page/584/","05.11.2008","Swell Size: Knee-Thigh/Waist?","1:03 PM / BY: sageisland","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610738572-7480","https://www.wblivesurf.com/reports/page/197/","10.11.2018","Swell Size: Head/Over Head","12:28 PM / BY: surfreports","Water Surface: Choppy","null","null","null","null","null"
"1610738739-8038","https://www.wblivesurf.com/reports/page/162/","03.03.2019","Swell Size: Knee/Thigh","7:03 AM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610739238-9917","https://www.wblivesurf.com/reports/page/44/","07.24.2020","Swell Size: Flat/Shin High","1:12 PM / BY: surfreports","Water Surface: Light Bump","null","null","null","null","null"
"1610738381-6816","https://www.wblivesurf.com/reports/page/238/","04.23.2018","Swell Size: Knee High","10:02 AM / BY: surfreports","Water Surface: Choppy/Drift","ratingCell half","null","null","null","null"
"1610738441-7028","https://www.wblivesurf.com/reports/page/225/","06.13.2018","Swell Size: Thigh/Waist","12:50 PM / BY: surfreports","Water Surface: light texture","ratingCell","ratingCell half","null","null","null"
"1610739137-9559","https://www.wblivesurf.com/reports/page/67/","03.25.2020","Swell Size: Check Live Cam","9:25 AM / BY: surfreports","Water Surface: Check Live Cam","null","null","null","null","null"
"1610739290-10166","https://www.wblivesurf.com/reports/page/29/","09.20.2020","Swell Size: Chest-Head High+","10:23 AM / BY: surfreports","Water Surface: Some Texture/Fairly Clean Faces","ratingCell","ratingCell","ratingCell","null","null"
"1610737781-3959","https://www.wblivesurf.com/reports/page/417/","08.25.2013","Swell Size: Stomach-Chest/Maybe Bigger?","3:42 PM / BY: sageisland","Water Surface: Bumpy","ratingCell","ratingCell","ratingCell","null","null"
"1610737685-3398","https://www.wblivesurf.com/reports/page/452/","09.18.2012","Swell Size: Waist/Chest/Occ. Bigger","6:55 AM / BY: sageisland","Water Surface: Choppy/Drifty","ratingCell","null","null","null","null"
"1610739087-9329","https://www.wblivesurf.com/reports/page/81/","01.26.2020","Swell Size: Knee-Thigh High","3:48 PM / BY: surfreports","Water Surface: Fairly Clean","ratingCell","null","null","null","null"
"1610738579-7500","https://www.wblivesurf.com/reports/page/196/","10.14.2018","Swell Size: Knee High","3:44 PM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737693-3441","https://www.wblivesurf.com/reports/page/449/","10.19.2012","Swell Size: Thigh/Waist/Occ. Bigger","7:22 AM / BY: sageisland","Water Surface: Light Bump/Clean Faces","ratingCell","null","null","null","null"
"1610737881-4529","https://www.wblivesurf.com/reports/page/381/","04.11.2015","Swell Size: Knee-Thigh High","10:00 AM / BY: sageisland","Water Surface: Clean","ratingCell","null","null","null","null"
"1610739169-9708","https://www.wblivesurf.com/reports/page/58/","05.26.2020","Swell Size: Knee High","10:15 AM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737851-4355","https://www.wblivesurf.com/reports/page/392/","10.18.2014","Swell Size: Waist/Stomach","9:17 AM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610737756-3818","https://www.wblivesurf.com/reports/page/426/","06.08.2013","Swell Size: Waist/Stomach/Occ. Bigger","6:17 AM / BY: sageisland","Water Surface: Light Chop/Drift","ratingCell","ratingCell","null","null","null"
"1610738117-5681","https://www.wblivesurf.com/reports/page/309/","09.28.2016","Swell Size: Thigh-Waist High/Occ. Bigger","10:05 AM / BY: sageisland","Water Surface: Light Texture","ratingCell","ratingCell","ratingCell half","null","null"
"1610738736-8017","https://www.wblivesurf.com/reports/page/163/","02.28.2019","Swell Size: Waist","10:08 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610738776-8182","https://www.wblivesurf.com/reports/page/153/","04.07.2019","Swell Size: Knee/Thigh High","3:57 PM / BY: surfreports","Water Surface: light texture","ratingCell","null","null","null","null"
"1610737905-4675","https://www.wblivesurf.com/reports/page/372/","06.26.2015","Swell Size: Thigh/Waist","8:57 AM / BY: sageisland","Water Surface: Light Chop","ratingCell","ratingCell","null","null","null"
"1610737245-903","https://www.wblivesurf.com/reports/page/608/","02.09.2008","Swell Size: Shin/Knee","12:45 PM / BY: sageisland","Water Surface: Light Chop","ratingCell half","null","null","null","null"
"1610739031-9098","https://www.wblivesurf.com/reports/page/96/","11.24.2019","Swell Size: Thigh/Waist High","6:55 AM / BY: surfreports","Water Surface: Clean/Hard Offshore","ratingCell","null","null","null","null"
"1610738183-6061","https://www.wblivesurf.com/reports/page/285/","09.24.2017","Swell Size: Stomach/Chest/Bigger sets","7:21 AM / BY: surfreports","Water Surface: Semi-Clean/Light Bump","ratingCell","ratingCell","ratingCell","null","null"
"1610737269-1046","https://www.wblivesurf.com/reports/page/599/","03.15.2008","Swell Size: Knee High","12:40 PM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737783-3975","https://www.wblivesurf.com/reports/page/416/","09.08.2013","Swell Size: Hip/Waist","11:45 AM / BY: sageisland","Water Surface: Clean/Super Light Bump","ratingCell","ratingCell","null","null","null"
"1610738545-7373","https://www.wblivesurf.com/reports/page/203/","09.11.2018","Swell Size: Waist/Stomach/Chest","10:18 AM / BY: surfreports","Water Surface: Light Bump","ratingCell","null","null","null","null"
"1610738535-7341","https://www.wblivesurf.com/reports/page/205/","09.03.2018","Swell Size: Thigh/Waist","9:09 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610737905-4677","https://www.wblivesurf.com/reports/page/372/","06.24.2015","Swell Size: Knee/Thigh High","9:13 AM / BY: sageisland","Water Surface: Semi-Clean","ratingCell","null","null","null","null"
"1610738180-6053","https://www.wblivesurf.com/reports/page/286/","05.02.2017","Swell Size: Thigh-Waist High/Occ.Stomach","12:41 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610739159-9654","https://www.wblivesurf.com/reports/page/61/","05.13.2020","Swell Size: Knee High","11:20 AM / BY: surfreports","Water Surface: Clean","null","null","null","null","null"
"1610737682-3386","https://www.wblivesurf.com/reports/page/453/","09.08.2012","Swell Size: Stomach/Chest/Occ. Bigger","12:28 PM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610738109-5633","https://www.wblivesurf.com/reports/page/312/","09.13.2016","Swell Size: Knee/Thigh/Occ. Waist","3:54 PM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737587-2826","https://www.wblivesurf.com/reports/page/488/","07.15.2010","Swell Size: Thigh/Waist/Occ. Bigger","6:23 AM / BY: sageisland","Water Surface: Glassy","ratingCell","ratingCell half","null","null","null"
"1610738906-8698","https://www.wblivesurf.com/reports/page/121/","08.12.2019","Swell Size: Knee/Thigh High","3:39 PM / BY: surfreports","Water Surface: Bumpy","ratingCell half","null","null","null","null"
"1610739109-9434","https://www.wblivesurf.com/reports/page/75/","02.17.2020","Swell Size: Thigh-Waist High","12:31 PM / BY: surfreports","Water Surface: Light Bump","ratingCell","ratingCell half","null","null","null"
"1610738484-7182","https://www.wblivesurf.com/reports/page/215/","07.25.2018","Swell Size: Waist/Stomach/Occ. Chest","6:38 AM / BY: surfreports","Water Surface: Choppy/Sloppy","ratingCell","null","null","null","null"
"1610738076-5542","https://www.wblivesurf.com/reports/page/318/","08.03.2016","Swell Size: Waist/Stomach High","4:08 PM / BY: sageisland","Water Surface: Bumpy","ratingCell","ratingCell","null","null","null"
"1610737848-4346","https://www.wblivesurf.com/reports/page/393/","09.27.2014","Swell Size: Waist/Stomach","6:54 AM / BY: sageisland","Water Surface: Semi-Clean/Light Chop","ratingCell","ratingCell","ratingCell half","null","null"
"1610737499-2303","https://www.wblivesurf.com/reports/page/520/","05.18.2009","Swell Size: Waist-Stomach/ Occ. Bigger","1:18 PM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737750-3782","https://www.wblivesurf.com/reports/page/428/","05.24.2013","Swell Size: Thigh/Waist/Occ. Bigger","1:12 PM / BY: sageisland","Water Surface: Fairly Clean","ratingCell","ratingCell","null","null","null"
"1610738030-5268","https://www.wblivesurf.com/reports/page/335/","03.31.2016","Swell Size: Waist/Stomach/Occ. Chest High?","12:55 PM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell","ratingCell","null","null"
"1610737826-4207","https://www.wblivesurf.com/reports/page/401/","03.07.2014","Swell Size: Head/Plus","6:52 AM / BY: sageisland","Water Surface: Choppy/Semi-Clean Faces","ratingCell","ratingCell","null","null","null"
"1610737603-2915","https://www.wblivesurf.com/reports/page/482/","01.25.2011","Swell Size: Thigh/Stomach","7:20 AM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell half","null","null","null"
"1610739318-10290","https://www.wblivesurf.com/reports/page/21/","10.24.2020","Swell Size: Waist-Chest High/ Occ. Bigger","3:41 PM / BY: surfreports","Water Surface: Bumpy","ratingCell","ratingCell","ratingCell half","null","null"
"1610738161-5933","https://www.wblivesurf.com/reports/page/293/","03.04.2017","Swell Size: Thigh-Waist High","12:38 PM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell half","null","null","null"
"1610737826-4210","https://www.wblivesurf.com/reports/page/401/","03.04.2014","Swell Size: Thigh/Waist/Occ. Stomach","12:34 PM / BY: sageisland","Water Surface: Light Bump/Chop","ratingCell","ratingCell","null","null","null"
"1610737975-4986","https://www.wblivesurf.com/reports/page/353/","11.11.2015","Swell Size: Waist/Stomach High","6:34 AM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610737102-383","https://www.wblivesurf.com/reports/page/640/","10.07.2007","Swell Size: waist-stomach/occ. chest","4:01 PM / BY: sageisland","Water Surface: semi-clean","ratingCell","ratingCell half","null","null","null"
"1610738523-7311","https://www.wblivesurf.com/reports/page/207/","08.25.2018","Swell Size: Knee High","3:43 PM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610738555-7419","https://www.wblivesurf.com/reports/page/201/","09.24.2018","Swell Size: Knee High","1:11 PM / BY: surfreports","Water Surface: Bumpy","ratingCell half","null","null","null","null"
"1610738463-7104","https://www.wblivesurf.com/reports/page/220/","07.04.2018","Swell Size: Thigh-Waist High/ Maybe Bigger?","12:29 PM / BY: surfreports","Water Surface: Bumpy","ratingCell","ratingCell","null","null","null"
"1610737488-2242","https://www.wblivesurf.com/reports/page/524/","04.14.2009","Swell Size: Stomach/Chest/Bigger Sets","12:29 PM / BY: sageisland","Water Surface: Light Chop","ratingCell","ratingCell half","null","null","null"
"1610738559-7429","https://www.wblivesurf.com/reports/page/200/","09.30.2018","Swell Size: Thigh/Waist/Occ. Bigger?","10:58 AM / BY: surfreports","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737258-985","https://www.wblivesurf.com/reports/page/603/","03.01.2008","Swell Size: Shin High","1:02 PM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610738492-7221","https://www.wblivesurf.com/reports/page/213/","07.31.2018","Swell Size: Knee/Thigh High","9:11 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610737859-4408","https://www.wblivesurf.com/reports/page/389/","12.06.2014","Swell Size: Knee/Thigh/Occ. Waist","3:30 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610737416-1889","https://www.wblivesurf.com/reports/page/546/","10.09.2008","Swell Size: Thigh/Occ. Waist","7:06 AM / BY: sageisland","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737521-2432","https://www.wblivesurf.com/reports/page/512/","08.20.2009","Swell Size: Waist/Stomach High/Occ. Bigger Sets","1:09 PM / BY: sageisland","Water Surface: Light Onshore Chop","ratingCell","ratingCell half","null","null","null"
"1610738545-7386","https://www.wblivesurf.com/reports/page/203/","09.08.2018","Swell Size: thigh/waist","7:13 AM / BY: surfreports","Water Surface: clean/glassy","ratingCell","null","null","null","null"
"1610737834-4260","https://www.wblivesurf.com/reports/page/398/","07.04.2014","Swell Size: Thigh-Waist High","3:53 PM / BY: sageisland","Water Surface: Bumpy","ratingCell","ratingCell","null","null","null"
"1610737138-604","https://www.wblivesurf.com/reports/page/627/","11.15.2007","Swell Size: Knee","4:15 PM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737977-4997","https://www.wblivesurf.com/reports/page/352/","11.21.2015","Swell Size: Thigh-Waist High","10:06 AM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell","null","null","null"
"1610737184-875","https://www.wblivesurf.com/reports/page/610/","01.31.2008","Swell Size: Thigh/Waist/Occ. Bigger","4:04 PM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610738776-8186","https://www.wblivesurf.com/reports/page/153/","04.06.2019","Swell Size: Thigh/Waist","3:36 PM / BY: surfreports","Water Surface: light texture","ratingCell","ratingCell","null","null","null"
"1610737889-4579","https://www.wblivesurf.com/reports/page/378/","05.02.2015","Swell Size: Waist-Stomach/Maybe Bigger?","9:48 AM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610738750-8090","https://www.wblivesurf.com/reports/page/159/","03.13.2019","Swell Size: Knee High","3:14 PM / BY: surfreports","Water Surface: Choppy","null","null","null","null","null"
"1610739123-9496","https://www.wblivesurf.com/reports/page/71/","03.05.2020","Swell Size: toe/ankle","6:38 AM / BY: surfreports","Water Surface: clean/glassy","null","null","null","null","null"
"1610738463-7110","https://www.wblivesurf.com/reports/page/220/","07.03.2018","Swell Size: Shin/Maybe Knee","6:20 AM / BY: surfreports","Water Surface: Clean","ratingCell half","null","null","null","null"
"1610737592-2845","https://www.wblivesurf.com/reports/page/486/","10.01.2010","Swell Size: Stomach-Shoulder/Bigger?","12:25 PM / BY: sageisland","Water Surface: Semi-Glass/Light Texture","ratingCell","ratingCell half","null","null","null"
"1610738054-5412","https://www.wblivesurf.com/reports/page/326/","05.31.2016","Swell Size: Waist-Stomach/Occ. Bigger Sets","12:50 PM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610739191-9793","https://www.wblivesurf.com/reports/page/52/","06.21.2020","Swell Size: Flat/Shin High","12:15 PM / BY: surfreports","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610737652-3203","https://www.wblivesurf.com/reports/page/464/","05.14.2012","Swell Size: Waist/Stomach High","6:37 AM / BY: sageisland","Water Surface: Light Chop/Bump","ratingCell","null","null","null","null"
"1610738100-5581","https://www.wblivesurf.com/reports/page/315/","08.31.2016","Swell Size: Thigh/Waist/Occ.Stomach","9:19 AM / BY: sageisland","Water Surface: Semi-Clean","ratingCell","ratingCell half","null","null","null"
"1610737530-2489","https://www.wblivesurf.com/reports/page/509/","09.01.2009","Swell Size: Thigh/Occ.  Bigger","1:30 PM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737451-2038","https://www.wblivesurf.com/reports/page/537/","12.02.2008","Swell Size: Knee/ Occ. Thigh","3:18 PM / BY: sageisland","Water Surface: Glassy","ratingCell","null","null","null","null"
"1610737742-3734","https://www.wblivesurf.com/reports/page/431/","04.26.2013","Swell Size: Thigh/Waist/Occ. Stomach","12:40 PM / BY: sageisland","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
"1610738428-6986","https://www.wblivesurf.com/reports/page/228/","05.30.2018","Swell Size: Knee/Thigh/Occ. Waist High","4:10 PM / BY: surfreports","Water Surface: Onshore Chop","ratingCell","null","null","null","null"
"1610737837-4272","https://www.wblivesurf.com/reports/page/397/","08.05.2014","Swell Size: Chest/Head/Rare Bigger","12:47 PM / BY: sageisland","Water Surface: Semi-Clean/Light Bump","ratingCell","ratingCell","ratingCell","null","null"
"1610738770-8170","https://www.wblivesurf.com/reports/page/154/","04.02.2019","Swell Size: Waist/Stomach/Occ. Bigger","4:01 PM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610738906-8694","https://www.wblivesurf.com/reports/page/121/","08.13.2019","Swell Size: Knee High","3:34 PM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737823-4190","https://www.wblivesurf.com/reports/page/402/","02.13.2014","Swell Size: Chest/Head/Rare + on set","7:20 AM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","ratingCell","ratingCell half","null"
"1610738103-5610","https://www.wblivesurf.com/reports/page/314/","09.01.2016","Swell Size: Thigh/Waist High","6:54 AM / BY: sageisland","Water Surface: Semi-Clean/Light Texture","ratingCell","ratingCell","null","null","null"
"1610737817-4160","https://www.wblivesurf.com/reports/page/404/","01.06.2014","Swell Size: Waist/Stomach/Occ. Bigger","12:44 PM / BY: sageisland","Water Surface: Clean/Light Drifty","ratingCell","ratingCell","ratingCell","null","null"
"1610737881-4533","https://www.wblivesurf.com/reports/page/381/","04.09.2015","Swell Size: Knee High","12:16 PM / BY: sageisland","Water Surface: Clean","ratingCell","null","null","null","null"
"1610738122-5710","https://www.wblivesurf.com/reports/page/307/","10.07.2016","Swell Size: Chest/Head/Occ. Bigger?","9:58 AM / BY: sageisland","Water Surface: Choppy","ratingCell","null","null","null","null"
"1610737261-992","https://www.wblivesurf.com/reports/page/602/","03.07.2008","Swell Size: Knee-Thigh","12:43 PM / BY: sageisland","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610737524-2454","https://www.wblivesurf.com/reports/page/511/","08.23.2009","Swell Size: Waist/Stomach/Occ. Bigger","9:53 AM / BY: sageisland","Water Surface: Semi-Choppy","ratingCell","ratingCell half","null","null","null"
"1610738759-8117","https://www.wblivesurf.com/reports/page/157/","03.23.2019","Swell Size: Shin/Occ. Knee","7:42 AM / BY: surfreports","Water Surface: Clean","null","null","null","null","null"
"1610737794-4032","https://www.wblivesurf.com/reports/page/412/","10.07.2013","Swell Size: Thigh/Waist/Occ. Bigger","10:10 AM / BY: sageisland","Water Surface: Choppy/Drifty","ratingCell","ratingCell","null","null","null"
"1610737323-1358","https://www.wblivesurf.com/reports/page/579/","05.28.2008","Swell Size: Shin/Knee/Bigger?","1:20 PM / BY: sageisland","Water Surface: Semi-glass","ratingCell half","null","null","null","null"
"1610737127-535","https://www.wblivesurf.com/reports/page/631/","11.06.2007","Swell Size: Knee/Thigh","9:34 AM / BY: sageisland","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610739050-9171","https://www.wblivesurf.com/reports/page/91/","12.16.2019","Swell Size: Knee-Thigh High","12:26 PM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610739169-9706","https://www.wblivesurf.com/reports/page/58/","05.26.2020","null","4:59 PM / BY: surfreports","null","null","null","null","null","null"
"1610738155-5912","https://www.wblivesurf.com/reports/page/295/","01.24.2017","Swell Size: Waist/Stomach","4:29 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell","ratingCell half","null","null"
"1610739095-9368","https://www.wblivesurf.com/reports/page/79/","02.02.2020","Swell Size: shin/knee","7:11 AM / BY: surfreports","Water Surface: clean","ratingCell half","null","null","null","null"
"1610739083-9312","https://www.wblivesurf.com/reports/page/82/","01.23.2020","Swell Size: thigh/stomach+","7:45 AM / BY: surfreports","Water Surface: light chop/bump","ratingCell half","null","null","null","null"
"1610738985-8989","https://www.wblivesurf.com/reports/page/102/","11.03.2019","Swell Size: Knee/Thigh High","10:05 AM / BY: surfreports","Water Surface: Light Bump","ratingCell","null","null","null","null"
"1610737605-2928","https://www.wblivesurf.com/reports/page/481/","03.31.2011","Swell Size: Waist/Chest","10:11 AM / BY: sageisland","Water Surface: Clean/Offshore","ratingCell","ratingCell half","null","null","null"
"1610738795-8268","https://www.wblivesurf.com/reports/page/148/","04.26.2019","Swell Size: Knee High","9:59 AM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610738164-5955","https://www.wblivesurf.com/reports/page/292/","03.08.2017","Swell Size: Thigh/ Waist Rare Bigger","4:02 PM / BY: sageisland","Water Surface: Clean","ratingCell","ratingCell half","null","null","null"
"1610737326-1378","https://www.wblivesurf.com/reports/page/578/","06.01.2008","Swell Size: Knee/Thigh High","9:10 AM / BY: sageisland","Water Surface: Semi-Glassy","ratingCell half","null","null","null","null"
"1610738788-8236","https://www.wblivesurf.com/reports/page/150/","04.18.2019","Swell Size: Knee High Shorebreak","9:55 AM / BY: surfreports","Water Surface: Clean","ratingCell half","null","null","null","null"
"1610737649-3185","https://www.wblivesurf.com/reports/page/465/","05.02.2012","Swell Size: Knee/Thigh/Occ. Bigger","10:06 AM / BY: sageisland","Water Surface: Light Bump","ratingCell","null","null","null","null"
"1610737772-3907","https://www.wblivesurf.com/reports/page/420/","07.30.2013","Swell Size: Knee/Occ.Thigh/Bigger?","12:37 PM / BY: sageisland","Water Surface: Light Bump","ratingCell","ratingCell half","null","null","null"
"1610739148-9610","https://www.wblivesurf.com/reports/page/64/","04.26.2020","Swell Size: Thigh-Waist High","3:46 PM / BY: surfreports","Water Surface: Choppy","ratingCell","ratingCell half","null","null","null"
