web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,fun-factor-0,fun-factor-1,fun-factor-2,fun-factor-3,fun-factor-4
"1610738166-5977","https://www.wblivesurf.com/reports/page/291/","03.13.2017","Swell Size: Stomach/ Chest","3:54 PM / BY: sageisland","Water Surface: Choppy/ Drifty","ratingCell","ratingCell half","null","null","null"
"1610739072-9271","https://www.wblivesurf.com/reports/page/85/","01.09.2020","Swell Size: Shin High","10:02 AM / BY: surfreports","Water Surface: Bumpy","null","null","null","null","null"
"1610738367-6769","https://www.wblivesurf.com/reports/page/241/","04.11.2018","Swell Size: Thigh/Waist","6:45 AM / BY: surfreports","Water Surface: Pretty Clean/Light Bump","ratingCell","ratingCell","null","null","null"
"1610737552-2606","https://www.wblivesurf.com/reports/page/501/","11.13.2009","Swell Size: Thigh/Waist/Rare Chest","9:42 AM / BY: sageisland","Water Surface: Semi-Clean Faces/Light Bump","ratingCell","null","null","null","null"
"1610737339-1453","https://www.wblivesurf.com/reports/page/573/","06.15.2008","Swell Size: Knee High","6:42 AM / BY: sageisland","Water Surface: Milk Glass","ratingCell half","null","null","null","null"
"1610737146-646","https://www.wblivesurf.com/reports/page/624/","12.01.2007","Swell Size: Knee/Thigh High","9:29 AM / BY: sageisland","Water Surface: Semi-Clean/Light Bump","ratingCell half","null","null","null","null"
"1610739035-9103","https://www.wblivesurf.com/reports/page/95/","12.01.2019","Swell Size: Knee/Thigh High","12:41 PM / BY: surfreports","Water Surface: Bumpy","ratingCell","null","null","null","null"
"1610738614-7613","https://www.wblivesurf.com/reports/page/188/","11.19.2018","Swell Size: Knee/Thigh High Shorebreak","3:31 PM / BY: surfreports","Water Surface: Clean","ratingCell half","null","null","null","null"
"1610737400-1798","https://www.wblivesurf.com/reports/page/552/","09.11.2008","Swell Size: Knee - Thigh High","3:48 PM / BY: sageisland","Water Surface: Light Chop","ratingCell half","null","null","null","null"
"1610737709-3538","https://www.wblivesurf.com/reports/page/443/","12.17.2012","Swell Size: Thigh/Waist/Occ. Stomach","7:13 AM / BY: sageisland","Water Surface: Clean","ratingCell","null","null","null","null"
"1610738852-8469","https://www.wblivesurf.com/reports/page/135/","06.19.2019","Swell Size: Thigh/Hip/Occ. Waist","6:00 AM / BY: surfreports","Water Surface: Clean","ratingCell","ratingCell","null","null","null"
"1610739137-9563","https://www.wblivesurf.com/reports/page/67/","03.21.2020","Swell Size: Check Cam","6:45 AM / BY: surfreports","Water Surface: Check Cam","null","null","null","null","null"
"1610738916-8731","https://www.wblivesurf.com/reports/page/119/","08.20.2019","Swell Size: Knee/Thigh High","12:27 PM / BY: surfreports","Water Surface: Clean","ratingCell","null","null","null","null"
"1610737391-1756","https://www.wblivesurf.com/reports/page/555/","08.29.2008","Swell Size: Knee/Thigh/Rare Bigger","1:19 PM / BY: sageisland","Water Surface: Semi-Chop","ratingCell half","null","null","null","null"
"1610739134-9542","https://www.wblivesurf.com/reports/page/68/","03.17.2020","Swell Size: Thigh-Waist High","12:32 PM / BY: surfreports","Water Surface: semi clean","ratingCell","ratingCell","null","null","null"
"1610737302-1235","https://www.wblivesurf.com/reports/page/587/","05.05.2008","Swell Size: Knee/Thigh High Shorebreak","6:36 AM / BY: sageisland","Water Surface: Glassy","ratingCell half","null","null","null","null"
"1610737416-1890","https://www.wblivesurf.com/reports/page/546/","10.09.2008","Swell Size: Thigh/Occ. Waist","7:06 AM / BY: sageisland","Water Surface: Light Bump","ratingCell half","null","null","null","null"
"1610739187-9788","https://www.wblivesurf.com/reports/page/53/","06.15.2020","Swell Size: Thigh/Waist","6:22 AM / BY: surfreports","Water Surface: Choppy","ratingCell half","null","null","null","null"
"1610738398-6876","https://www.wblivesurf.com/reports/page/235/","05.02.2018","Swell Size: Lake Atlantic","10:04 AM / BY: surfreports","Water Surface: Clean","null","null","null","null","null"
