,web-scraper-order,web-scraper-start-url,date,swell_size,time,water_surface,total_rating
52,1610737108-417,https://www.wblivesurf.com/reports/page/638/,10.14.2007,Swell Size: Shin/Knee/Rare Bigger,5:11 PM / BY: sageisland,Water Surface: Light Texture,0.5
53,1610738985-8991,https://www.wblivesurf.com/reports/page/102/,11.02.2019,Swell Size: Knee/Thigh High/occ+,3:32 PM / BY: surfreports,Water Surface: Semi-Clean,1.5
54,1610737242-881,https://www.wblivesurf.com/reports/page/609/,02.06.2008,Swell Size: Thigh-Waist/Occ. Stomach,4:02 PM / BY: sageisland,Water Surface: Choppy,0.5
55,1610738545-7385,https://www.wblivesurf.com/reports/page/203/,09.08.2018,Swell Size: Thigh-Waist High/Rare Bigger,10:15 AM / BY: surfreports,Water Surface: Light Bump,2.0
56,1610738579-7489,https://www.wblivesurf.com/reports/page/196/,10.17.2018,Swell Size: Ankle/Shin High,12:53 PM / BY: surfreports,Water Surface: Light Bump,0.0
57,1610737823-4201,https://www.wblivesurf.com/reports/page/402/,02.05.2014,Swell Size: Thigh/Waist,7:13 AM / BY: sageisland,Water Surface: Clean/Foggy,2.0
58,1610738293-6502,https://www.wblivesurf.com/reports/page/258/,01.31.2018,Swell Size: Knee-Thigh High,3:45 PM / BY: surfreports,Water Surface: Bumpy,1.0
59,1610738994-9046,https://www.wblivesurf.com/reports/page/99/,11.13.2019,Swell Size: Thigh/Waist/Occ. Stomach,6:56 AM / BY: surfreports,Water Surface: Pretty Clean/Windy,0.5
60,1610737124-510,https://www.wblivesurf.com/reports/page/632/,11.05.2007,Swell Size: Thigh/Occ. Waist,6:24 AM / BY: sageisland,Water Surface: Glassy,1.0
61,1610738233-6293,https://www.wblivesurf.com/reports/page/271/,12.10.2017,Swell Size: Knee/Thigh,7:12 AM / BY: surfreports,Water Surface: Clean,1.0
62,1610738208-6191,https://www.wblivesurf.com/reports/page/277/,11.17.2017,Swell Size: Shin/Knee,6:48 AM / BY: surfreports,Water Surface: Choppy,0.5
63,1610737883-4546,https://www.wblivesurf.com/reports/page/380/,04.17.2015,Swell Size: Stomach-Chest High/Bigger Sets,10:02 AM / BY: sageisland,Water Surface: Light Texture,3.0
64,1610738743-8049,https://www.wblivesurf.com/reports/page/161/,03.08.2019,Swell Size: Ankle High,7:19 AM / BY: surfreports,Water Surface: Light Bump,0.0
65,1610737171-789,https://www.wblivesurf.com/reports/page/615/,01.14.2008,Swell Size: Knee/Thigh High Shorebreak,9:40 AM / BY: sageisland,Water Surface: Glassy,0.5
66,1610737812-4125,https://www.wblivesurf.com/reports/page/406/,12.08.2013,Swell Size: Thigh/Waist/Occ.Stomach,10:26 AM / BY: sageisland,Water Surface: Sideshore Chop/Clean Faces,1.5
67,1610737660-3249,https://www.wblivesurf.com/reports/page/461/,05.28.2012,Swell Size: Stomach/Chest/Occ. Bigger,6:23 AM / BY: sageisland,Water Surface: Light Bump/Chop,1.5
68,1610738114-5664,https://www.wblivesurf.com/reports/page/310/,09.24.2016,Swell Size: thigh/waist,10:10 AM / BY: sageisland,Water Surface: light chop/texture,1.5
69,1610739144-9582,https://www.wblivesurf.com/reports/page/65/,04.25.2020,Swell Size: Waist High,12:04 PM / BY: surfreports,Water Surface: Choppy,0.5
70,1610738286-6468,https://www.wblivesurf.com/reports/page/260/,01.24.2018,Swell Size: Knee/Occ. Thigh High,10:00 AM / BY: surfreports,Water Surface: Clean,1.0
71,1610737986-5039,https://www.wblivesurf.com/reports/page/349/,12.07.2015,Swell Size: Thigh/Waist,12:14 PM / BY: sageisland,Water Surface: Clean,2.0
72,1610737687-3408,https://www.wblivesurf.com/reports/page/451/,10.03.2012,Swell Size: Waist/Occ. Stomach/Rare Bigger,9:58 AM / BY: sageisland,Water Surface: Choppy/Semi-Clean Faces,1.0
73,1610738947-8832,https://www.wblivesurf.com/reports/page/112/,09.22.2019,Swell Size: Thigh/Waist,3:48 PM / BY: surfreports,Water Surface: Light Texture,1.5
74,1610738966-8914,https://www.wblivesurf.com/reports/page/107/,10.12.2019,Swell Size: Thigh/Waist,10:18 AM / BY: surfreports,Water Surface: Glassy,1.5
